Player,School,Pos,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,round,overall,year
Brandin Cooks,Oregon State,WR,70,189,4.33,36,16,120,6.76,3.81,1,20,2014
Brandin Echols,Kentucky,CB,70,179,4.34,42.5,13,136,6.84,4.12,0,,
Brandon Bolden,Mississippi,RB,71,222,4.55,38,21,119,6.96,4.44,0,,
Brandon Dixon,Northwest Missouri State,CB,71,203,4.41,32.5,17,117,7.15,4.27,1,195,2014
Brandon Hepburn,Florida A&M,ILB,74,240,4.68,32,21,124,7.4,4.55,1,245,2013
Brandon Kaufman,East. Washington,WR,77,216,4.67,33.5,9,115,7.11,4.44,0,,
Brandon Lindsey,Pittsburgh,OLB,74,254,4.85,33,23,117,7.36,4.28,0,,
Brandon Marshall,Nevada,OLB,73,242,4.72,30.5,28,108,7.05,4.09,1,142,2012
Brandon McGee,Miami (FL),CB,71,193,4.4,33.5,14,119,6.71,4.18,1,149,2013
Brandon Mosley,Auburn,OT,78,314,5.14,27,30,103,7.43,4.78,1,131,2012
Brandon Thomas,Clemson,OG,75,317,5.09,29,35,98,8.13,4.83,1,100,2014
Brandon Thompson,Clemson,DT,74,314,5.2,31,35,100,7.97,4.71,1,93,2012
Brandon Washington,Miami (FL),OG,75,320,5.14,25,28,101,8.22,4.87,1,200,2012
Brandon Wilds,South Carolina,RB,73,220,4.54,36.5,21,118,7.08,4.33,0,,
Brandon Williams,Texas A&M,CB,71,197,4.37,30.5,18,118,6.85,4.19,1,92,2016
Brandon Williams,Missouri Southern,DT,73,335,5.37,29.5,38,102,8.09,4.91,1,94,2013
Braxton Miller,Ohio State,WR,73,201,4.5,35,17,123,6.65,4.07,1,85,2016
Braylon Heard,Kentucky,RB,70,198,4.63,30.5,19,116,7.19,4.4,0,,
Brenden Knox,Marshall,RB,70,215,4.67,35,23,112,7.19,4.39,0,,
Brendon White,Rutgers,CB,73,215,4.66,34.5,19,112,6.82,4.33,0,,
Brett Heggie,Florida,OL,76,310,5.5,26,21,105,7.66,4.69,0,,
Brett Roy,Nevada,DT,75,275,5,30.5,32,108,7.31,4.62,0,,
Brian Allen,Michigan State,C,73,298,5.34,26.5,27,99,7.81,4.71,1,111,2018
Brian Allen,Utah,CB,75,215,4.48,34.5,15,117,6.64,4.34,1,173,2017
Brian Herrien,Georgia,RB,71,209,4.62,38.5,18,126,7.12,4.4,0,,
Brian Hill,Wyoming,RB,73,219,4.54,34,15,125,7.03,4.32,1,156,2017
Brian O'neill,Pittsburgh,OT,79,297,4.82,29.5,22,107,7.14,4.5,1,62,2018
Brian Quick,Appalachian State,WR,75,220,4.5,34,15,119,7.1,4.23,1,33,2012
Brian Schwenke,California,C,75,314,4.99,26.5,31,108,7.31,4.74,1,107,2013
Briean Boddy-Calhoun,Minnesota,CB,69,193,4.47,35,10,123,7.16,4.22,0,,
Briley Moore,Kansas St.,TE,76,240,4.66,37.5,26,123,7.24,4.37,0,,
Brock Vereen,Minnesota,S,73,199,4.47,34,25,117,6.9,4.07,1,131,2014
Brock Wright,Notre Dame,TE,76,257,4.62,31.5,26,118,7.27,4.25,0,,
Bronson Kaufusi,BYU,DE,78,285,4.87,30,25,111,7.03,4.25,1,70,2016
Brooks Ellis,Arkansas,ILB,74,240,4.79,29.5,18,115,6.8,4.25,0,,
Bruce Ellington,South Carolina,WR,69,197,4.45,39.5,15,120,6.69,3.95,1,106,2014
Bruce Irvin,West Virginia,OLB,75,245,4.41,33.5,23,123,6.7,4.03,1,15,2012
Bruce Taylor,Virginia Tech,ILB,73,237,5.01,30.5,19,115,7.21,4.39,0,,
Bruno Labelle,Cincinnati,TE,76,247,4.73,36,19,123,7.36,4.43,0,,
Bryan Cox Jr.,Florida,DE,75,265,4.89,26.5,16,109,7.36,4.46,0,,
Bryce Hager,Baylor,ILB,73,234,4.6,35,26,117,7.15,4.36,1,224,2015
Bryce Hargrove,Pittsburgh,OL,75,310,5.46,27,26,97,8.06,5.03,0,,
Bryce Williams,East Carolina,TE,78,257,4.94,29.5,19,111,7.19,4.53,0,,
Brycen Hopkins,Purdue,TE,76,245,4.66,33.5,21,116,7.25,4.28,1,136,2020
Bryson Denley,Bowling Green,RB,67,189,4.56,27.5,13,110,7.25,4.57,0,,
Budda Baker,Washington,S,70,195,4.45,32.5,15,115,6.76,4.08,1,36,2017
Byron Pringle,Kansas State,WR,73,203,4.46,33.5,15,120,6.87,4.4,0,,
C.J. Anderson,California,RB,68,224,4.6,32,17,119,7.15,4.12,0,,
C.J. Fiedorowicz,Iowa,TE,77,265,4.76,31.5,25,116,7.1,4.26,1,65,2014
C.J. O'Grady,Arkansas,TE,76,253,4.81,34,16,119,7.3,4.34,0,,
Caden Sterns,Texas,CB,71,202,4.41,42,14,128,6.96,4.13,1,152,2021
Caleb Brantley,Florida,DT,75,307,5.14,27,21,105,7.66,4.62,1,185,2017
Caleb McSurdy,Montana,ILB,73,245,4.82,30,26,110,7.26,4.28,1,222,2012
Calvin Ashley,Florida A&M,OL,78,314,5.49,29,15,105,7,5.1,0,,
Calvin Bundage,Oklahoma St.,LB,73,221,4.81,31.5,14,116,7.31,4.43,0,,
Calvin Ridley,Alabama,WR,73,189,4.43,31,15,110,6.88,4.41,1,26,2018
Calvin Throckmorton,Oregon,OL,77,317,5.57,27,23,97,8.07,4.98,0,,
Cameron Erving,Florida State,C,77,313,5.15,30.5,30,112,7.48,4.63,1,19,2015
Cameron Fleming,Stanford,OT,77,323,5.28,23.5,26,97,8.24,5,1,140,2014
Cameron Kinley,Navy,CB,73,197,4.52,33,10,116,7.06,4.25,0,,
Cameron Lee,Illinois State,OG,77,312,5.44,25.5,18,100,8.02,4.75,0,,
Cameron Sample,Tulane,DE,74,267,4.72,37,23,116,7.39,4.48,0,,
Caraun Reid,Princeton,DT,74,302,4.91,26.5,20,106,7.59,4.58,1,158,2014
Carl Bradford,Arizona State,OLB,73,250,4.76,37.5,23,122,7.25,4.3,1,121,2014
Carl Lawson,Auburn,DE,74,261,4.67,33,35,114,7.46,4.19,1,116,2017
Carl Nassib,Penn State,DE,79,277,4.84,28.5,21,114,7.27,4.37,1,65,2016
Carlos Basham,Wake Forest,DL,75,274,4.64,34,20,122,7.13,4.25,1,61,2021
Carlos Henderson,Louisiana Tech,WR,71,199,4.46,36,13,131,7.18,4.35,1,82,2017
Carroll Phillips,Illinois,OLB,75,242,4.64,30,23,123,7.06,4.37,0,,
Casey Hayward,Vanderbilt,CB,71,192,4.47,34,19,119,6.76,3.9,1,62,2012
Casey Toohill,Stanford,LB,76,250,4.62,39,17,126,7.08,4.21,1,233,2020
Cassius Marsh,UCLA,DE,76,252,4.89,32,14,108,7.08,4.25,1,108,2014
Cece Jefferson,Florida,EDGE,73,266,5.02,30.5,17,108,7.5,4.53,0,,
Cedrick Wilson,Boise State,WR,74,197,4.55,37,9,121,6.89,4.23,1,208,2018
Cesar Ruiz,Michigan,OL,75,307,5.08,33,28,113,7.91,4.64,1,24,2020
Chad Hansen,California,WR,74,202,4.53,35,11,119,6.74,4.13,1,141,2017
Chandler Jones,Syracuse,DE,77,266,4.77,35,22,120,7.07,4.38,1,21,2012
Channing Stribling,Michigan,CB,73,188,4.6,31.5,5,114,6.94,4.56,0,,
Chapelle Russell,Temple,LB,74,236,4.69,35,21,121,7.38,4.41,1,241,2020
Charles Brown,North Carolina,CB,69,202,4.53,35.5,18,114,6.94,4.06,0,,
Charles Harris,Missouri,DE,75,253,4.82,32,21,109,7.47,4.42,1,22,2017
Charles Leno,Boise State,OG,76,303,5.25,29,21,108,7.57,4.4,1,246,2014
Charles Mitchell,Mississippi State,S,71,202,4.56,37,19,127,6.93,4.22,1,192,2012
Charles Sims,West Virginia,RB,73,214,4.48,37.5,17,126,7.16,4.3,1,69,2014
Charles Walker,Oklahoma,DT,74,310,4.96,28,25,107,7.89,4.96,0,,
Charlie Heck,North Carolina,OL,80,311,5.16,28,21,112,8.02,4.86,1,126,2020
Charlie Taumoepeau,Portland State,TE,74,240,4.75,36.5,18,121,7,4.27,0,,
Charlie Woerner,Georgia,TE,77,244,4.78,34.5,21,120,7.18,4.46,1,190,2020
Charone Peake,Clemson,WR,74,209,4.45,35.5,12,122,6.96,4.46,1,241,2016
Chas Alecxih,Pittsburgh,DT,76,296,5.31,25.5,19,99,7.74,4.62,0,,
Chase Behrndt,West Virginia,OL,75,324,5.55,24.5,25,101,8.21,4.93,0,,
Chase Edmonds,Fordham,RB,69,205,4.55,34,19,122,6.79,4.07,1,134,2018
Chase Roullier,Wyoming,C,76,312,5.54,26.5,19,97,7.6,4.47,1,199,2017
Chase Thomas,Stanford,OLB,75,244,4.91,32,18,113,7.17,4.31,0,,
Chase Winovich,Michigan,EDGE,75,256,4.59,30.5,18,116,6.94,4.11,1,77,2019
Chauncey Gardner-Johnson,Florida,S,71,210,4.48,36,17,117,7.03,4.2,1,105,2019
Chauncey Rivers,Mississippi State,DL,74,262,4.97,30.5,20,106,7.33,4.7,0,,
Chaz Green,Florida,OT,77,314,5.16,29.5,21,106,8,4.7,1,91,2015
Chaz Powell,Penn State,CB,73,203,4.42,33,17,121,6.84,4.16,0,,
Chidobe Awuzie,Colorado,CB,73,202,4.43,34.5,16,132,6.81,4.14,1,60,2017
Chris Barker,Nevada,OG,75,305,5.25,27.5,29,99,8.09,4.77,0,,
Chris Borland,Wisconsin,ILB,71,248,4.83,31,27,114,7.18,4.27,1,77,2014
Chris Brown,Texas,CB,70,191,4.55,36,15,118,6.85,4.18,0,,
Chris Conley,Georgia,WR,74,213,4.35,45,18,139,7.06,4.3,1,76,2015
Chris Evans,Michigan,RB,71,211,4.5,40.5,20,127,6.83,4.12,1,202,2021
Chris Galippo,USC,ILB,73,241,4.73,29.5,19,107,6.9,4.1,0,,
Chris Givens,Wake Forest,WR,71,198,4.35,33.5,19,118,6.97,4.23,1,96,2012
Chris Godwin,Penn State,WR,73,209,4.42,36,19,126,7.01,4,1,84,2017
Chris Gragg,Arkansas,TE,75,244,4.5,37.5,18,125,7.08,4.51,1,222,2013
Chris Harper,Kansas State,WR,73,229,4.55,35.5,20,116,6.89,4.39,1,123,2013
Chris Jones,Alabama,WR,70,182,4.63,32.5,8,119,6.91,4.19,1,37,2016
Chris Jones,Mississippi State,DT,78,310,5.03,24.5,26,106,7.44,4.62,1,37,2016
Chris Lindstrom,Boston Col.,OL,76,308,4.91,30.5,25,117,7.61,4.54,1,14,2019
Chris Miller,Baylor,S,71,190,4.61,35.5,12,133,7.09,4.12,0,,
Chris Moore,Cincinnati,WR,73,206,4.53,37,10,130,6.76,4.2,1,107,2016
Chris Owusu,Stanford,WR,73,196,4.36,40.5,19,129,6.85,4.11,0,,
Chris Pantale,Boston Col.,TE,77,254,4.99,33.5,17,110,7.48,4.5,0,,
Chris Rainey,Florida,RB,68,180,4.36,36.5,16,120,6.5,3.93,1,159,2012
Chris Smith,Arkansas,OLB,73,266,4.66,37,28,121,7.55,4.46,1,159,2014
Chris Warren,Texas,RB,74,247,4.69,33,25,121,6.98,4.18,0,,
Christian Kirk,Texas A&M,WR,70,201,4.47,35.5,20,115,7.09,4.45,1,47,2018
Christian McCaffrey,Stanford,RB,71,202,4.48,37.5,10,121,6.57,4.22,1,8,2017
Christian Sam,Arizona State,ILB,74,244,4.75,32,28,114,7.03,4.25,1,178,2018
Christian Thompson,South Carolina State,S,73,211,4.42,31.5,18,122,7.33,4.13,1,130,2012
Christian Tupou,USC,DT,74,289,5.38,24,30,92,8.07,4.87,0,,
Christine Michael,Texas A&M,RB,70,220,4.54,43,27,125,6.69,4.02,1,62,2013
Chuba Hubbard,Oklahoma St.,RB,73,210,4.48,36,20,120,7.24,4.26,1,126,2021
Chuck Clark,Virginia Tech,S,73,208,4.54,34,16,122,6.85,4.07,1,186,2017
Chukwuma Okorafor,West. Michigan,OT,78,320,5.31,23.5,19,102,7.87,4.8,1,92,2018
CJ Marable,Coastal Carolina,RB,66,195,4.59,36,17,116,7.25,4.39,0,,
Clayton Geathers,Central Florida,S,74,218,4.55,37,22,120,7.21,4.27,1,109,2015
Cliff Harris,Oregon,CB,71,175,4.61,36,14,118,6.79,4.19,0,,
Clive Walford,Miami (FL),TE,76,251,4.79,35,20,120,7.32,4.57,1,68,2015
Cody Barton,Utah,LB,74,237,4.64,32.5,30,116,6.9,4.03,1,88,2019
